,ticker,name,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023
204,SCR,estimate_price_low,3616,16535,5738,7514,8682,4655,20166,8769,17114,8718,5248,8171,3745,10279,4097,3902,3583,2071,10617,4870,15280,8302,7687,11355,6592,8873
205,SCR,estimate_price_high,5424,24803,8607,11271,13023,6984,30249,13153,25671,13077,7871,12256,5618,15418,6144,5853,5375,3107,15926,7305,22920,12453,11529,17032,9888,13310
206,PPC,estimate_price_low,6418,13412,14360,14667,18552,13731,8450,13832,16065,16519,20136,19403,16485,20345,27071,19607,18546,16945,19706,18237,14734,14334,7888,11823,10049,38065
207,PPC,estimate_price_high,9627,20118,21541,22001,27828,20596,12675,20747,24097,24778,30204,29104,24727,30517,40605,29411,27819,25419,29559,27356,22102,21502,11832,17735,15073,57097
208,IDI,estimate_price_low,9305,5225,4913,4635,4499,18398,15780,18616,13043,10864,11317,7851,6341,4638,3073,2156,2442,2512,4132,4939,5336,4248,14644,46763,42859,20932
209,IDI,estimate_price_high,13957,7838,7370,6953,6748,27598,23671,27924,19566,16296,16975,11776,9511,6957,4609,3233,3664,3768,6197,7408,8004,6372,21967,70144,64289,31397
210,SZC,estimate_price_low,0,0,0,0,0,0,0,0,8540,9924,8082,13890,14478,21022,16265,21256,22841,16853,21632,30161,40155,44203,53797,46492,36648,30104
211,SZC,estimate_price_high,0,0,0,0,0,0,0,0,12809,14887,12123,20835,21717,31533,24397,31884,34262,25279,32449,45242,60233,66305,80695,69737,54972,45156
212,ANV,estimate_price_low,6116,5909,5941,2308,44318,4235,15386,17083,32462,29136,58330,32902,29544,25479,18596,12808,11265,9958,9613,17733,17820,15538,16779,73068,99574,62434
213,ANV,estimate_price_high,9175,8864,8912,3461,66477,6352,23079,25626,48693,43703,87494,49353,44316,38218,27895,19211,16897,14937,14419,26600,26730,23307,25168,109602,149361,93650
214,DHC,estimate_price_low,30873,32374,29496,27464,25669,27399,36848,39455,52463,46598,35893,33081,26350,29065,67710,56050,50637,45042,54164,77971,78415,75685,61045,54627,54890,49297
